,match_uid_question_0,match_uid_question_1,match_uid_question_10,match_uid_question_11,match_uid_question_12,match_uid_question_13,match_uid_question_14,match_uid_question_15,match_uid_question_2,match_uid_question_3,match_uid_question_4,match_uid_question_5,match_uid_question_6,match_uid_question_7,match_uid_question_8,match_uid_question_9,uid_question_0,uid_question_1,uid_question_10,uid_question_11,uid_question_12,uid_question_13,uid_question_14,uid_question_15,uid_question_2,uid_question_3,uid_question_4,uid_question_5,uid_question_6,uid_question_7,uid_question_8,uid_question_9,star_plus
8127,,,,,,,,,,,,,,,,,Neutral,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Agree,5.0
8128,,,,,,,,,,,,,,,,,Disagree,Disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Neutral,Neutral,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Agree,1.75
8129,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,Disagree,Neutral,Slightly agree,Slightly disagree,Disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,4.0
8130,Neutral,Disagree,Agree,Agree,Neutral,Slightly agree,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Neutral,Slightly agree,Neutral,Slightly disagree,Agree,,,,,,,,,,,,,,,,,5.0
8131,Slightly agree,Agree,Disagree,Agree,Slightly agree,Slightly disagree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Neutral,Slightly disagree,Slightly agree,Neutral,Neutral,Slightly agree,Slightly agree,Neutral,Neutral,Agree,3.25
8132,Slightly disagree,Disagree,Slightly disagree,Agree,Agree,Disagree,Slightly disagree,Slightly agree,Disagree,Slightly agree,Slightly disagree,Neutral,Disagree,Disagree,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,5.0
8133,Slightly agree,Slightly disagree,Neutral,Slightly agree,Slightly agree,Disagree,Slightly agree,Disagree,Slightly agree,Disagree,Slightly disagree,Neutral,Agree,Disagree,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,5.0
8134,,,,,,,,,,,,,,,,,Agree,Slightly disagree,Disagree,Slightly agree,Slightly disagree,Neutral,Slightly agree,Disagree,Agree,Slightly agree,Slightly disagree,Disagree,Slightly agree,Slightly agree,Disagree,Neutral,5.0
8135,Disagree,Neutral,Slightly agree,Slightly agree,Disagree,Disagree,Disagree,Disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,,,,,,,,,,,,,,,,,5.0
8136,,,,,,,,,,,,,,,,,Disagree,Disagree,Slightly disagree,Neutral,Agree,Slightly agree,Slightly agree,Neutral,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Neutral,5.0
8137,,,,,,,,,,,,,,,,,Disagree,Neutral,Neutral,Slightly agree,Slightly disagree,Slightly agree,Neutral,Slightly disagree,Neutral,Slightly agree,Neutral,Slightly disagree,Slightly agree,Slightly agree,Neutral,Agree,5.0
8138,Neutral,Slightly agree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Neutral,Agree,Neutral,Agree,Agree,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,4.0
8139,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,Disagree,Neutral,Slightly agree,Slightly disagree,Disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,2.75
8140,,,,,,,,,,,,,,,,,Disagree,Slightly disagree,Agree,Slightly agree,Slightly agree,Neutral,Agree,Agree,Slightly agree,Neutral,Slightly disagree,Neutral,Agree,Slightly disagree,Slightly agree,Agree,5.0
8141,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
8142,,,,,,,,,,,,,,,,,Disagree,Disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Neutral,Neutral,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Agree,4.0
8143,,,,,,,,,,,,,,,,,Slightly agree,Agree,Neutral,Neutral,Slightly agree,Slightly agree,Agree,Neutral,Slightly agree,Neutral,Slightly disagree,Neutral,Slightly disagree,Neutral,Slightly agree,Slightly agree,3.25
8144,,,,,,,,,,,,,,,,,Neutral,Slightly agree,Neutral,Neutral,Neutral,Agree,Slightly agree,Disagree,Slightly agree,Neutral,Slightly disagree,Neutral,Neutral,Neutral,Slightly agree,Agree,5.0
8145,,,,,,,,,,,,,,,,,Slightly disagree,Slightly disagree,Slightly agree,Agree,Slightly agree,Agree,Neutral,Agree,Neutral,Slightly agree,Neutral,Neutral,Agree,Slightly agree,Slightly agree,Slightly agree,5.0
8146,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Neutral,Slightly disagree,Slightly agree,Neutral,Neutral,Slightly agree,Slightly agree,Neutral,Neutral,Agree,,,,,,,,,,,,,,,,,3.25
8147,Neutral,Slightly agree,Slightly disagree,Slightly disagree,Disagree,Slightly agree,Slightly agree,Disagree,Agree,Agree,Slightly disagree,Slightly agree,Slightly disagree,Neutral,Disagree,Slightly agree,,,,,,,,,,,,,,,,,2.0
8148,Slightly agree,Slightly agree,Neutral,Neutral,Slightly agree,Neutral,Neutral,Slightly disagree,Neutral,Slightly agree,Neutral,Neutral,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,4.0
8149,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Neutral,Slightly agree,Neutral,Slightly agree,Slightly disagree,Neutral,Neutral,Slightly agree,Neutral,Slightly disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,5.0
8150,Disagree,Slightly disagree,Agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Slightly disagree,Neutral,Neutral,Slightly agree,Slightly agree,Slightly agree,Neutral,Agree,,,,,,,,,,,,,,,,,5.0
8151,Disagree,Slightly agree,Agree,Slightly disagree,Disagree,Agree,Neutral,Slightly disagree,Slightly agree,Disagree,Slightly agree,Neutral,Agree,Slightly disagree,Disagree,Agree,,,,,,,,,,,,,,,,,5.0
8152,Disagree,Neutral,Agree,Disagree,Slightly agree,Agree,Neutral,Slightly disagree,Disagree,Agree,Slightly agree,Disagree,Neutral,Disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
8153,Disagree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,Agree,Agree,,,,,,,,,,,,,,,,,5.0
8154,,,,,,,,,,,,,,,,,Disagree,Slightly agree,Agree,Slightly agree,Slightly disagree,Neutral,Slightly disagree,Slightly agree,Neutral,Agree,Slightly disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,Agree,5.0
8155,Disagree,Disagree,Slightly agree,Agree,Agree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Agree,Slightly disagree,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,2.0
8156,,,,,,,,,,,,,,,,,Slightly agree,Agree,Disagree,Agree,Slightly agree,Slightly disagree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,3.25
8157,,,,,,,,,,,,,,,,,Slightly agree,Agree,Slightly agree,Neutral,Disagree,Neutral,Neutral,Disagree,Slightly disagree,Agree,Slightly disagree,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,5.0
8158,,,,,,,,,,,,,,,,,Slightly agree,Slightly agree,Agree,Slightly agree,Neutral,Slightly disagree,Slightly agree,Neutral,Slightly agree,Slightly agree,Agree,Neutral,Disagree,Slightly disagree,Disagree,Agree,2.0
8159,,,,,,,,,,,,,,,,,Disagree,Neutral,Agree,Disagree,Slightly agree,Agree,Neutral,Slightly disagree,Disagree,Agree,Slightly agree,Disagree,Neutral,Disagree,Slightly agree,Agree,5.0
8160,Slightly disagree,Slightly agree,Neutral,Agree,Neutral,Agree,Neutral,Slightly disagree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Slightly agree,,,,,,,,,,,,,,,,,2.5
8161,,,,,,,,,,,,,,,,,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Neutral,Slightly disagree,Slightly disagree,Slightly disagree,Neutral,Slightly disagree,Neutral,Neutral,3.25
8162,,,,,,,,,,,,,,,,,Slightly disagree,Neutral,Agree,Slightly agree,Neutral,Slightly agree,Agree,Neutral,Slightly agree,Disagree,Disagree,Slightly agree,Agree,Slightly agree,Slightly agree,Slightly agree,4.0
8163,Disagree,Neutral,Disagree,Agree,Slightly agree,Slightly agree,Agree,Neutral,Neutral,Disagree,Neutral,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,,,,,,,,,,,,,,,,,2.5
8164,,,,,,,,,,,,,,,,,Disagree,Slightly disagree,Agree,Slightly agree,Slightly agree,Neutral,Agree,Agree,Slightly agree,Neutral,Slightly disagree,Neutral,Agree,Slightly disagree,Slightly agree,Agree,3.25
8165,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Slightly agree,Slightly disagree,Neutral,Slightly agree,Neutral,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Slightly disagree,Slightly agree,4.75
8166,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Slightly agree,Slightly agree,Agree,Neutral,Neutral,Disagree,Neutral,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,5.0
8167,,,,,,,,,,,,,,,,,Neutral,Disagree,Neutral,Disagree,Slightly disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,5.0
8168,Disagree,Neutral,Slightly agree,Slightly agree,Disagree,Disagree,Disagree,Disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,,,,,,,,,,,,,,,,,5.0
8169,Slightly agree,Slightly agree,Neutral,Neutral,Slightly agree,Neutral,Neutral,Slightly disagree,Neutral,Slightly agree,Neutral,Neutral,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,2.0
8170,,,,,,,,,,,,,,,,,Slightly agree,Slightly disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Slightly agree,Agree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Slightly agree,2.0
8171,Slightly agree,Agree,Slightly disagree,Slightly disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,,,,,,,,,,,,,,,,,3.0
8172,,,,,,,,,,,,,,,,,Slightly disagree,Neutral,Agree,Slightly agree,Neutral,Slightly agree,Agree,Neutral,Slightly agree,Disagree,Disagree,Slightly agree,Agree,Slightly agree,Slightly agree,Slightly agree,2.0
8173,,,,,,,,,,,,,,,,,Slightly disagree,Slightly disagree,Neutral,Neutral,Slightly disagree,Slightly agree,Agree,Disagree,Slightly agree,Neutral,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Disagree,Neutral,5.0
8174,,,,,,,,,,,,,,,,,Slightly agree,Neutral,Slightly agree,Neutral,Slightly disagree,Neutral,Slightly disagree,Neutral,Neutral,Slightly agree,Slightly agree,Neutral,Agree,Slightly agree,Slightly disagree,Slightly agree,5.0
8175,Neutral,Neutral,Slightly disagree,Agree,Slightly disagree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,5.0
8176,Disagree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,Agree,Agree,,,,,,,,,,,,,,,,,5.0
8177,Disagree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Slightly agree,Neutral,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Slightly agree,Disagree,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,5.0
8178,,,,,,,,,,,,,,,,,Slightly agree,Slightly agree,Agree,Agree,Neutral,Slightly disagree,Slightly agree,Agree,Slightly agree,Agree,Neutral,Slightly agree,Agree,Neutral,Slightly agree,Slightly agree,1.0
8179,,,,,,,,,,,,,,,,,Slightly disagree,Neutral,Agree,Disagree,Slightly disagree,Neutral,Neutral,Disagree,Slightly agree,Slightly agree,Agree,Slightly disagree,Neutral,Neutral,Neutral,Agree,4.0
8180,Slightly agree,Slightly agree,Slightly agree,Neutral,Disagree,Slightly agree,Slightly agree,Neutral,Slightly agree,Slightly disagree,Slightly agree,Neutral,Agree,Agree,Neutral,Agree,,,,,,,,,,,,,,,,,2.0
8181,Disagree,Neutral,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly disagree,Agree,Slightly agree,Slightly disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,5.0
8182,,,,,,,,,,,,,,,,,Disagree,Disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Neutral,Neutral,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Agree,4.0
8183,,,,,,,,,,,,,,,,,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,Disagree,Neutral,Slightly agree,Slightly disagree,Disagree,Slightly agree,Agree,6.0
8184,,,,,,,,,,,,,,,,,Slightly agree,Slightly agree,Neutral,Slightly disagree,Disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Disagree,Slightly agree,Neutral,Disagree,Slightly disagree,Neutral,2.75
8185,,,,,,,,,,,,,,,,,Slightly disagree,Slightly agree,Neutral,Agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Neutral,Slightly agree,Slightly agree,5.0
8186,,,,,,,,,,,,,,,,,Disagree,Slightly disagree,Agree,Slightly disagree,Disagree,Slightly disagree,Agree,Neutral,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Neutral,Slightly agree,Agree,5.0
8187,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Disagree,Disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
8188,Neutral,Neutral,Slightly disagree,Slightly disagree,Neutral,Agree,Neutral,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Disagree,Slightly disagree,Neutral,Agree,Slightly agree,,,,,,,,,,,,,,,,,2.0
8189,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Neutral,Slightly disagree,Slightly disagree,Slightly disagree,Neutral,Slightly disagree,Neutral,Neutral,,,,,,,,,,,,,,,,,5.0
8190,Neutral,Slightly disagree,Slightly disagree,Agree,Agree,Slightly disagree,Slightly agree,Neutral,Slightly agree,Neutral,Agree,Neutral,Slightly agree,Agree,Neutral,Slightly agree,,,,,,,,,,,,,,,,,5.0
8191,Disagree,Slightly agree,Agree,Slightly disagree,Disagree,Agree,Neutral,Slightly disagree,Slightly agree,Disagree,Slightly agree,Neutral,Agree,Slightly disagree,Disagree,Agree,Neutral,Slightly disagree,Neutral,Neutral,Disagree,Slightly disagree,Slightly agree,Neutral,Slightly disagree,Disagree,Disagree,Neutral,Slightly agree,Disagree,Neutral,Neutral,2.0
8192,Slightly agree,Neutral,Slightly agree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Slightly agree,Disagree,Slightly disagree,Disagree,Agree,,,,,,,,,,,,,,,,,5.0
8193,,,,,,,,,,,,,,,,,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,3.25
8194,,,,,,,,,,,,,,,,,Agree,Agree,Slightly disagree,Slightly agree,Agree,Agree,Slightly agree,Neutral,Agree,Agree,Slightly agree,Slightly agree,Agree,Slightly agree,Slightly disagree,Disagree,2.5
8195,,,,,,,,,,,,,,,,,Neutral,Slightly agree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Neutral,Agree,Neutral,Agree,Agree,Slightly disagree,Slightly agree,0.0
8196,,,,,,,,,,,,,,,,,Neutral,Neutral,Slightly agree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Slightly disagree,Slightly agree,Agree,Slightly disagree,Disagree,Slightly agree,3.25
8197,Disagree,Neutral,Disagree,Agree,Slightly agree,Slightly agree,Agree,Neutral,Neutral,Disagree,Neutral,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
8198,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Slightly agree,Slightly agree,Agree,Neutral,Neutral,Disagree,Neutral,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,5.0
8199,,,,,,,,,,,,,,,,,Slightly agree,Slightly agree,Slightly agree,Neutral,Disagree,Slightly agree,Slightly agree,Neutral,Slightly agree,Slightly disagree,Slightly agree,Neutral,Agree,Agree,Neutral,Agree,5.0
8200,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Slightly agree,Slightly agree,Agree,Slightly agree,Neutral,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Agree,4.0
8201,Slightly agree,Slightly disagree,Neutral,Slightly agree,Slightly agree,Disagree,Slightly agree,Disagree,Slightly agree,Disagree,Slightly disagree,Neutral,Agree,Disagree,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,3.75
8202,Slightly disagree,Slightly agree,Neutral,Agree,Neutral,Agree,Neutral,Slightly disagree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Slightly agree,,,,,,,,,,,,,,,,,4.75
8203,,,,,,,,,,,,,,,,,Slightly disagree,Neutral,Agree,Agree,Slightly agree,Slightly agree,Agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Slightly agree,Agree,Agree,5.0
8204,Slightly agree,Agree,Neutral,Neutral,Slightly agree,Slightly agree,Agree,Neutral,Slightly agree,Neutral,Slightly disagree,Neutral,Slightly disagree,Neutral,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,4.0
8205,,,,,,,,,,,,,,,,,Disagree,Disagree,Neutral,Disagree,Slightly agree,Agree,Slightly agree,Slightly disagree,Slightly disagree,Neutral,Slightly disagree,Slightly disagree,Neutral,Disagree,Slightly disagree,Agree,5.0
8206,,,,,,,,,,,,,,,,,Slightly agree,Neutral,Neutral,Slightly agree,Slightly agree,Slightly agree,Neutral,Slightly agree,Slightly disagree,Agree,Neutral,Slightly agree,Neutral,Neutral,Slightly disagree,Slightly agree,5.0
8207,Neutral,Slightly agree,Slightly disagree,Slightly disagree,Disagree,Slightly agree,Slightly agree,Disagree,Agree,Agree,Slightly disagree,Slightly agree,Slightly disagree,Neutral,Disagree,Slightly agree,,,,,,,,,,,,,,,,,5.0
8208,,,,,,,,,,,,,,,,,Disagree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,Agree,Agree,5.0
8209,,,,,,,,,,,,,,,,,Disagree,Slightly disagree,Agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Slightly disagree,Neutral,Neutral,Slightly agree,Slightly agree,Slightly agree,Neutral,Agree,5.0
8210,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,3.0
8211,Neutral,Neutral,Slightly agree,Slightly agree,Neutral,Neutral,Slightly agree,Agree,Slightly agree,Agree,Slightly disagree,Disagree,Slightly agree,Disagree,Neutral,Slightly agree,,,,,,,,,,,,,,,,,2.0
8212,,,,,,,,,,,,,,,,,Neutral,Agree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Agree,Slightly disagree,Agree,Neutral,Disagree,Slightly agree,Neutral,Disagree,Slightly disagree,Neutral,2.5
8213,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,,,,,,,,,,,,,,,,,5.0
8214,Neutral,Slightly disagree,Neutral,Slightly agree,Slightly disagree,Slightly disagree,Agree,Neutral,Slightly agree,Agree,Neutral,Disagree,Slightly agree,Neutral,Slightly agree,Neutral,Slightly disagree,Disagree,Agree,Disagree,Disagree,Agree,Slightly disagree,Disagree,Disagree,Disagree,Disagree,Agree,Slightly agree,Neutral,Slightly disagree,Agree,5.0
8215,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,,,,,,,,,,,,,,,,,5.0
8216,Slightly agree,Slightly agree,Neutral,Disagree,Slightly agree,Slightly agree,Neutral,Agree,Slightly agree,Agree,Neutral,Agree,Slightly agree,Agree,Disagree,Agree,,,,,,,,,,,,,,,,,5.0
8217,,,,,,,,,,,,,,,,,Disagree,Disagree,Slightly disagree,Neutral,Agree,Slightly agree,Slightly agree,Neutral,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Neutral,1.75
8218,,,,,,,,,,,,,,,,,Slightly disagree,Slightly disagree,Agree,Agree,Neutral,Neutral,Slightly disagree,Neutral,Slightly agree,Slightly disagree,Neutral,Slightly agree,Slightly agree,Neutral,Neutral,Agree,1.25
8219,Slightly disagree,Neutral,Agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Neutral,Neutral,Neutral,Slightly agree,Agree,Agree,Neutral,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
8220,,,,,,,,,,,,,,,,,Disagree,Neutral,Slightly agree,Slightly agree,Disagree,Disagree,Disagree,Disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,4.0
8221,Slightly disagree,Neutral,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Neutral,Slightly agree,Neutral,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Neutral,Slightly agree,,,,,,,,,,,,,,,,,2.0
8222,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Slightly agree,Agree,Slightly agree,Neutral,Agree,Agree,,,,,,,,,,,,,,,,,3.25
8223,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Neutral,Disagree,Agree,Disagree,Slightly agree,Agree,5.0
8224,Disagree,Neutral,Slightly agree,Slightly disagree,Disagree,Slightly agree,Neutral,Disagree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Neutral,Disagree,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,2.0
8225,,,,,,,,,,,,,,,,,Slightly disagree,Slightly disagree,Slightly agree,Agree,Slightly agree,Agree,Neutral,Agree,Neutral,Slightly agree,Neutral,Neutral,Agree,Slightly agree,Slightly agree,Slightly agree,5.0
8226,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Disagree,Disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
8227,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Neutral,Slightly agree,Slightly disagree,Disagree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,5.0
8228,Disagree,Slightly agree,Agree,Neutral,Disagree,Slightly agree,Agree,Slightly agree,Slightly agree,Disagree,Disagree,Disagree,Slightly agree,Disagree,Disagree,Agree,,,,,,,,,,,,,,,,,2.0
8229,,,,,,,,,,,,,,,,,Neutral,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Agree,5.0
8230,Slightly disagree,Slightly agree,Neutral,Agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Neutral,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,2.75
8231,Slightly agree,Slightly agree,Agree,Slightly agree,Agree,Agree,Slightly agree,Slightly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Slightly disagree,,,,,,,,,,,,,,,,,4.0
8232,Slightly disagree,Slightly disagree,Slightly agree,Agree,Slightly agree,Agree,Neutral,Agree,Neutral,Slightly agree,Neutral,Neutral,Agree,Slightly agree,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,4.0
8233,,,,,,,,,,,,,,,,,Disagree,Neutral,Agree,Slightly agree,Slightly agree,Neutral,Slightly agree,Slightly disagree,Slightly disagree,Neutral,Disagree,Slightly disagree,Neutral,Neutral,Agree,Slightly agree,2.75
8234,Neutral,Disagree,Disagree,Slightly agree,Slightly agree,Neutral,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Slightly agree,,,,,,,,,,,,,,,,,2.0
8235,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Agree,Neutral,Agree,Slightly agree,Neutral,Slightly disagree,Neutral,Neutral,Neutral,Disagree,Neutral,,,,,,,,,,,,,,,,,2.0
8236,,,,,,,,,,,,,,,,,Disagree,Slightly disagree,Agree,Slightly disagree,Agree,Agree,Agree,Slightly disagree,Agree,Agree,Disagree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Agree,5.0
8237,Disagree,Neutral,Disagree,Agree,Slightly agree,Slightly agree,Agree,Neutral,Neutral,Disagree,Neutral,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,,,,,,,,,,,,,,,,,3.0
8238,,,,,,,,,,,,,,,,,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Neutral,Slightly agree,Slightly agree,Agree,Slightly disagree,Slightly agree,Slightly agree,Agree,Neutral,Neutral,Slightly disagree,Slightly agree,4.0
8239,Disagree,Neutral,Agree,Slightly agree,Disagree,Agree,Neutral,Slightly disagree,Slightly disagree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Agree,,,,,,,,,,,,,,,,,5.0
